Source,Target
RubyDjasa,ch_chotimah2
saturnated,kerukunanwarga
sinpotv,DPR_RI
nhangginiz,tempodotco
tribunpontianak,tribunnews
ichan_norax,tempodotco
EfendiYanto,KompasTV
femmenfierce,ARSIPAJA
nugraha_besoes,Heraloebss
HALAluluuu,convomf
roy1alien,hrdbacot
luxuriouschestt,txtdaritadee
officialinews_,ARSIPAJA
vinosa,PKSejahtera
JakaGolook71,tempodotco
DestsPangestuni,princesstayuya
DestsPangestuni,footycinephile
DAzp16,JhonSitorus_18
YOUngBian,hirotocintaku
Grivod,cnbcindonesia
sunsetrav3n,andikamalreza
sunsetrav3n,AkilaNazaffu
GagahMakmu44043,P3gEl
svearine,okiawag
SultanH04160212,detikcom
EfendiYanto,03__nakula
narhania,salun1128
narhania,footycinephile
Hermandk298887,bpkri
Hermandk298887,korantempo
Hermandk298887,DitjenPajakRI
Hermandk298887,mohmahfudmd
Hermandk298887,prabowo
Hermandk298887,bpkri
Hermandk298887,korantempo
Hermandk298887,Arwandkt
Hermandk298887,Metro_TV
Hermandk298887,DitjenPajakRI
Hermandk298887,mohmahfudmd
Hermandk298887,prabowo
ddwnrffh,SayurLodehBTW2
ddwnrffh,fajarnugros
Hermandk298887,DitjenPajakRI
Hermandk298887,k
Hermandk298887,prabowo
Dewasenja280781,e100ss
Choheeteuk,lufienaa
danyrizkie,sucidesyafira
AnakLurahIstana,Karinbahary2
Ademfridemz,prabowo
Ademfridemz,AlnilamOmar
sayno_KKN,cnbcindonesia
brotherhomies69,cikaph
archonDendr0,Kucyber69
DipoNiarto,Tedyfauzi
KaixaVtuber,arsyamoi
rendito_,Goonddrong
Huniuminy_,kentangorengcr
Huniuminy_,alatxs
Huniuminy_,tanyakanrl
BocahNd63584241,CNNIndonesia
mweenggg,nikmipy
DaimatuRokhmah,DokterTifa
DaimatuRokhmah,ichan_norax
EdwardSevino,TirtoID
yantieee_yan,detikcom
Umukino_,YfenaPr
Umukino_,gebinaaa
Umukino_,putriiidsb
Umukino_,prabowo
Tikadewi_dr,el_avraham
Tikadewi_dr,SateTong
langit_biru78,kangdede78
langit_biru78,hanifinho
¥@N'$,jokowi
Satrio_ti,footycinephile
ARMYnism,agus_kriwul
ARMYnism,gus_dibyo
hazelmilky,tanyakanrl
Paij02022,hnirankara
Akbar4943167580,DokterTifa
adhaninee,ekowboy2
marahmarahinelu,DokterTifa
kapoelaga,willsarana
Logika_saya,prabowo
Jog11111,Bud_Cavalera
Jog11111,negativisme
ownedbyserina,Zaarazhar
